image,label
D:\dataset_chain\water\input0/train/305.tif,D:\dataset_chain\water\input0/train_label/305.tif
D:\dataset_chain\water\input0/train/306.tif,D:\dataset_chain\water\input0/train_label/306.tif
D:\dataset_chain\water\input0/train/307.tif,D:\dataset_chain\water\input0/train_label/307.tif
D:\dataset_chain\water\input0/train/308.tif,D:\dataset_chain\water\input0/train_label/308.tif
D:\dataset_chain\water\input0/train/309.tif,D:\dataset_chain\water\input0/train_label/309.tif
D:\dataset_chain\water\input0/train/310.tif,D:\dataset_chain\water\input0/train_label/310.tif
D:\dataset_chain\water\input0/train/311.tif,D:\dataset_chain\water\input0/train_label/311.tif
D:\dataset_chain\water\input0/train/312.tif,D:\dataset_chain\water\input0/train_label/312.tif
D:\dataset_chain\water\input0/train/313.tif,D:\dataset_chain\water\input0/train_label/313.tif
D:\dataset_chain\water\input0/train/314.tif,D:\dataset_chain\water\input0/train_label/314.tif
D:\dataset_chain\water\input0/train/315.tif,D:\dataset_chain\water\input0/train_label/315.tif
D:\dataset_chain\water\input0/train/316.tif,D:\dataset_chain\water\input0/train_label/316.tif
D:\dataset_chain\water\input0/train/317.tif,D:\dataset_chain\water\input0/train_label/317.tif
D:\dataset_chain\water\input0/train/318.tif,D:\dataset_chain\water\input0/train_label/318.tif
D:\dataset_chain\water\input0/train/319.tif,D:\dataset_chain\water\input0/train_label/319.tif
D:\dataset_chain\water\input0/train/320.tif,D:\dataset_chain\water\input0/train_label/320.tif
D:\dataset_chain\water\input0/train/321.tif,D:\dataset_chain\water\input0/train_label/321.tif
D:\dataset_chain\water\input0/train/322.tif,D:\dataset_chain\water\input0/train_label/322.tif
D:\dataset_chain\water\input0/train/323.tif,D:\dataset_chain\water\input0/train_label/323.tif
D:\dataset_chain\water\input0/train/324.tif,D:\dataset_chain\water\input0/train_label/324.tif
D:\dataset_chain\water\input0/train/325.tif,D:\dataset_chain\water\input0/train_label/325.tif
D:\dataset_chain\water\input0/train/326.tif,D:\dataset_chain\water\input0/train_label/326.tif
D:\dataset_chain\water\input0/train/327.tif,D:\dataset_chain\water\input0/train_label/327.tif
D:\dataset_chain\water\input0/train/328.tif,D:\dataset_chain\water\input0/train_label/328.tif
D:\dataset_chain\water\input0/train/329.tif,D:\dataset_chain\water\input0/train_label/329.tif
D:\dataset_chain\water\input0/train/330.tif,D:\dataset_chain\water\input0/train_label/330.tif
D:\dataset_chain\water\input0/train/331.tif,D:\dataset_chain\water\input0/train_label/331.tif
D:\dataset_chain\water\input0/train/332.tif,D:\dataset_chain\water\input0/train_label/332.tif
D:\dataset_chain\water\input0/train/333.tif,D:\dataset_chain\water\input0/train_label/333.tif
D:\dataset_chain\water\input0/train/334.tif,D:\dataset_chain\water\input0/train_label/334.tif
D:\dataset_chain\water\input0/train/335.tif,D:\dataset_chain\water\input0/train_label/335.tif
D:\dataset_chain\water\input0/train/336.tif,D:\dataset_chain\water\input0/train_label/336.tif
D:\dataset_chain\water\input0/train/337.tif,D:\dataset_chain\water\input0/train_label/337.tif
D:\dataset_chain\water\input0/train/338.tif,D:\dataset_chain\water\input0/train_label/338.tif
D:\dataset_chain\water\input0/train/339.tif,D:\dataset_chain\water\input0/train_label/339.tif
D:\dataset_chain\water\input0/train/340.tif,D:\dataset_chain\water\input0/train_label/340.tif
D:\dataset_chain\water\input0/train/341.tif,D:\dataset_chain\water\input0/train_label/341.tif
D:\dataset_chain\water\input0/train/342.tif,D:\dataset_chain\water\input0/train_label/342.tif
D:\dataset_chain\water\input0/train/343.tif,D:\dataset_chain\water\input0/train_label/343.tif
D:\dataset_chain\water\input0/train/344.tif,D:\dataset_chain\water\input0/train_label/344.tif
D:\dataset_chain\water\input0/train/345.tif,D:\dataset_chain\water\input0/train_label/345.tif
D:\dataset_chain\water\input0/train/346.tif,D:\dataset_chain\water\input0/train_label/346.tif
D:\dataset_chain\water\input0/train/347.tif,D:\dataset_chain\water\input0/train_label/347.tif
D:\dataset_chain\water\input0/train/348.tif,D:\dataset_chain\water\input0/train_label/348.tif
D:\dataset_chain\water\input0/train/349.tif,D:\dataset_chain\water\input0/train_label/349.tif
D:\dataset_chain\water\input0/train/350.tif,D:\dataset_chain\water\input0/train_label/350.tif
D:\dataset_chain\water\input0/train/351.tif,D:\dataset_chain\water\input0/train_label/351.tif
D:\dataset_chain\water\input0/train/352.tif,D:\dataset_chain\water\input0/train_label/352.tif
D:\dataset_chain\water\input0/train/353.tif,D:\dataset_chain\water\input0/train_label/353.tif
D:\dataset_chain\water\input0/train/354.tif,D:\dataset_chain\water\input0/train_label/354.tif
D:\dataset_chain\water\input0/train/355.tif,D:\dataset_chain\water\input0/train_label/355.tif
D:\dataset_chain\water\input0/train/356.tif,D:\dataset_chain\water\input0/train_label/356.tif
D:\dataset_chain\water\input0/train/357.tif,D:\dataset_chain\water\input0/train_label/357.tif
D:\dataset_chain\water\input0/train/358.tif,D:\dataset_chain\water\input0/train_label/358.tif
D:\dataset_chain\water\input0/train/359.tif,D:\dataset_chain\water\input0/train_label/359.tif
D:\dataset_chain\water\input0/train/360.tif,D:\dataset_chain\water\input0/train_label/360.tif
D:\dataset_chain\water\input0/train/361.tif,D:\dataset_chain\water\input0/train_label/361.tif
D:\dataset_chain\water\input0/train/362.tif,D:\dataset_chain\water\input0/train_label/362.tif
D:\dataset_chain\water\input0/train/363.tif,D:\dataset_chain\water\input0/train_label/363.tif
D:\dataset_chain\water\input0/train/364.tif,D:\dataset_chain\water\input0/train_label/364.tif
D:\dataset_chain\water\input0/train/365.tif,D:\dataset_chain\water\input0/train_label/365.tif
D:\dataset_chain\water\input0/train/366.tif,D:\dataset_chain\water\input0/train_label/366.tif
D:\dataset_chain\water\input0/train/367.tif,D:\dataset_chain\water\input0/train_label/367.tif
D:\dataset_chain\water\input0/train/368.tif,D:\dataset_chain\water\input0/train_label/368.tif
D:\dataset_chain\water\input0/train/369.tif,D:\dataset_chain\water\input0/train_label/369.tif
D:\dataset_chain\water\input0/train/370.tif,D:\dataset_chain\water\input0/train_label/370.tif
D:\dataset_chain\water\input0/train/371.tif,D:\dataset_chain\water\input0/train_label/371.tif
D:\dataset_chain\water\input0/train/372.tif,D:\dataset_chain\water\input0/train_label/372.tif
D:\dataset_chain\water\input0/train/373.tif,D:\dataset_chain\water\input0/train_label/373.tif
D:\dataset_chain\water\input0/train/374.tif,D:\dataset_chain\water\input0/train_label/374.tif
D:\dataset_chain\water\input0/train/375.tif,D:\dataset_chain\water\input0/train_label/375.tif
D:\dataset_chain\water\input0/train/376.tif,D:\dataset_chain\water\input0/train_label/376.tif
D:\dataset_chain\water\input0/train/377.tif,D:\dataset_chain\water\input0/train_label/377.tif
D:\dataset_chain\water\input0/train/378.tif,D:\dataset_chain\water\input0/train_label/378.tif
D:\dataset_chain\water\input0/train/379.tif,D:\dataset_chain\water\input0/train_label/379.tif
D:\dataset_chain\water\input0/train/380.tif,D:\dataset_chain\water\input0/train_label/380.tif
D:\dataset_chain\water\input0/train/381.tif,D:\dataset_chain\water\input0/train_label/381.tif
D:\dataset_chain\water\input0/train/382.tif,D:\dataset_chain\water\input0/train_label/382.tif
D:\dataset_chain\water\input0/train/383.tif,D:\dataset_chain\water\input0/train_label/383.tif
D:\dataset_chain\water\input0/train/384.tif,D:\dataset_chain\water\input0/train_label/384.tif
D:\dataset_chain\water\input0/train/385.tif,D:\dataset_chain\water\input0/train_label/385.tif
D:\dataset_chain\water\input0/train/386.tif,D:\dataset_chain\water\input0/train_label/386.tif
D:\dataset_chain\water\input0/train/387.tif,D:\dataset_chain\water\input0/train_label/387.tif
D:\dataset_chain\water\input0/train/388.tif,D:\dataset_chain\water\input0/train_label/388.tif
D:\dataset_chain\water\input0/train/389.tif,D:\dataset_chain\water\input0/train_label/389.tif
D:\dataset_chain\water\input0/train/390.tif,D:\dataset_chain\water\input0/train_label/390.tif
D:\dataset_chain\water\input0/train/391.tif,D:\dataset_chain\water\input0/train_label/391.tif
D:\dataset_chain\water\input0/train/392.tif,D:\dataset_chain\water\input0/train_label/392.tif
D:\dataset_chain\water\input0/train/393.tif,D:\dataset_chain\water\input0/train_label/393.tif
D:\dataset_chain\water\input0/train/394.tif,D:\dataset_chain\water\input0/train_label/394.tif
D:\dataset_chain\water\input0/train/395.tif,D:\dataset_chain\water\input0/train_label/395.tif
D:\dataset_chain\water\input0/train/396.tif,D:\dataset_chain\water\input0/train_label/396.tif
D:\dataset_chain\water\input0/train/397.tif,D:\dataset_chain\water\input0/train_label/397.tif
D:\dataset_chain\water\input0/train/398.tif,D:\dataset_chain\water\input0/train_label/398.tif
D:\dataset_chain\water\input0/train/399.tif,D:\dataset_chain\water\input0/train_label/399.tif
D:\dataset_chain\water\input0/train/400.tif,D:\dataset_chain\water\input0/train_label/400.tif
D:\dataset_chain\water\input0/train/401.tif,D:\dataset_chain\water\input0/train_label/401.tif
D:\dataset_chain\water\input0/train/402.tif,D:\dataset_chain\water\input0/train_label/402.tif
D:\dataset_chain\water\input0/train/403.tif,D:\dataset_chain\water\input0/train_label/403.tif
D:\dataset_chain\water\input0/train/404.tif,D:\dataset_chain\water\input0/train_label/404.tif
D:\dataset_chain\water\input0/train/405.tif,D:\dataset_chain\water\input0/train_label/405.tif
D:\dataset_chain\water\input0/train/406.tif,D:\dataset_chain\water\input0/train_label/406.tif
D:\dataset_chain\water\input0/train/407.tif,D:\dataset_chain\water\input0/train_label/407.tif
D:\dataset_chain\water\input0/train/408.tif,D:\dataset_chain\water\input0/train_label/408.tif
D:\dataset_chain\water\input0/train/409.tif,D:\dataset_chain\water\input0/train_label/409.tif
D:\dataset_chain\water\input0/train/410.tif,D:\dataset_chain\water\input0/train_label/410.tif
D:\dataset_chain\water\input0/train/411.tif,D:\dataset_chain\water\input0/train_label/411.tif
D:\dataset_chain\water\input0/train/412.tif,D:\dataset_chain\water\input0/train_label/412.tif
D:\dataset_chain\water\input0/train/413.tif,D:\dataset_chain\water\input0/train_label/413.tif
D:\dataset_chain\water\input0/train/414.tif,D:\dataset_chain\water\input0/train_label/414.tif
D:\dataset_chain\water\input0/train/415.tif,D:\dataset_chain\water\input0/train_label/415.tif
D:\dataset_chain\water\input0/train/416.tif,D:\dataset_chain\water\input0/train_label/416.tif
D:\dataset_chain\water\input0/train/417.tif,D:\dataset_chain\water\input0/train_label/417.tif
D:\dataset_chain\water\input0/train/418.tif,D:\dataset_chain\water\input0/train_label/418.tif
D:\dataset_chain\water\input0/train/419.tif,D:\dataset_chain\water\input0/train_label/419.tif
D:\dataset_chain\water\input0/train/420.tif,D:\dataset_chain\water\input0/train_label/420.tif
D:\dataset_chain\water\input0/train/421.tif,D:\dataset_chain\water\input0/train_label/421.tif
D:\dataset_chain\water\input0/train/422.tif,D:\dataset_chain\water\input0/train_label/422.tif
D:\dataset_chain\water\input0/train/423.tif,D:\dataset_chain\water\input0/train_label/423.tif
D:\dataset_chain\water\input0/train/424.tif,D:\dataset_chain\water\input0/train_label/424.tif
D:\dataset_chain\water\input0/train/425.tif,D:\dataset_chain\water\input0/train_label/425.tif
D:\dataset_chain\water\input0/train/426.tif,D:\dataset_chain\water\input0/train_label/426.tif
D:\dataset_chain\water\input0/train/427.tif,D:\dataset_chain\water\input0/train_label/427.tif
D:\dataset_chain\water\input0/train/428.tif,D:\dataset_chain\water\input0/train_label/428.tif
D:\dataset_chain\water\input0/train/429.tif,D:\dataset_chain\water\input0/train_label/429.tif
D:\dataset_chain\water\input0/train/430.tif,D:\dataset_chain\water\input0/train_label/430.tif
D:\dataset_chain\water\input0/train/431.tif,D:\dataset_chain\water\input0/train_label/431.tif
D:\dataset_chain\water\input0/train/432.tif,D:\dataset_chain\water\input0/train_label/432.tif
D:\dataset_chain\water\input0/train/433.tif,D:\dataset_chain\water\input0/train_label/433.tif
D:\dataset_chain\water\input0/train/434.tif,D:\dataset_chain\water\input0/train_label/434.tif
D:\dataset_chain\water\input0/train/435.tif,D:\dataset_chain\water\input0/train_label/435.tif
D:\dataset_chain\water\input0/train/436.tif,D:\dataset_chain\water\input0/train_label/436.tif
D:\dataset_chain\water\input0/train/437.tif,D:\dataset_chain\water\input0/train_label/437.tif
D:\dataset_chain\water\input0/train/438.tif,D:\dataset_chain\water\input0/train_label/438.tif
D:\dataset_chain\water\input0/train/439.tif,D:\dataset_chain\water\input0/train_label/439.tif
D:\dataset_chain\water\input0/train/440.tif,D:\dataset_chain\water\input0/train_label/440.tif
D:\dataset_chain\water\input0/train/441.tif,D:\dataset_chain\water\input0/train_label/441.tif
D:\dataset_chain\water\input0/train/442.tif,D:\dataset_chain\water\input0/train_label/442.tif
D:\dataset_chain\water\input0/train/443.tif,D:\dataset_chain\water\input0/train_label/443.tif
D:\dataset_chain\water\input0/train/444.tif,D:\dataset_chain\water\input0/train_label/444.tif
D:\dataset_chain\water\input0/train/445.tif,D:\dataset_chain\water\input0/train_label/445.tif
D:\dataset_chain\water\input0/train/446.tif,D:\dataset_chain\water\input0/train_label/446.tif
D:\dataset_chain\water\input0/train/447.tif,D:\dataset_chain\water\input0/train_label/447.tif
D:\dataset_chain\water\input0/train/448.tif,D:\dataset_chain\water\input0/train_label/448.tif
D:\dataset_chain\water\input0/train/449.tif,D:\dataset_chain\water\input0/train_label/449.tif
D:\dataset_chain\water\input0/train/450.tif,D:\dataset_chain\water\input0/train_label/450.tif
D:\dataset_chain\water\input0/train/451.tif,D:\dataset_chain\water\input0/train_label/451.tif
D:\dataset_chain\water\input0/train/452.tif,D:\dataset_chain\water\input0/train_label/452.tif
D:\dataset_chain\water\input0/train/453.tif,D:\dataset_chain\water\input0/train_label/453.tif
D:\dataset_chain\water\input0/train/454.tif,D:\dataset_chain\water\input0/train_label/454.tif
D:\dataset_chain\water\input0/train/455.tif,D:\dataset_chain\water\input0/train_label/455.tif
D:\dataset_chain\water\input0/train/456.tif,D:\dataset_chain\water\input0/train_label/456.tif
D:\dataset_chain\water\input0/train/457.tif,D:\dataset_chain\water\input0/train_label/457.tif
D:\dataset_chain\water\input0/train/458.tif,D:\dataset_chain\water\input0/train_label/458.tif
D:\dataset_chain\water\input0/train/459.tif,D:\dataset_chain\water\input0/train_label/459.tif
D:\dataset_chain\water\input0/train/460.tif,D:\dataset_chain\water\input0/train_label/460.tif
D:\dataset_chain\water\input0/train/461.tif,D:\dataset_chain\water\input0/train_label/461.tif
D:\dataset_chain\water\input0/train/462.tif,D:\dataset_chain\water\input0/train_label/462.tif
D:\dataset_chain\water\input0/train/463.tif,D:\dataset_chain\water\input0/train_label/463.tif
D:\dataset_chain\water\input0/train/464.tif,D:\dataset_chain\water\input0/train_label/464.tif
D:\dataset_chain\water\input0/train/465.tif,D:\dataset_chain\water\input0/train_label/465.tif
D:\dataset_chain\water\input0/train/466.tif,D:\dataset_chain\water\input0/train_label/466.tif
D:\dataset_chain\water\input0/train/467.tif,D:\dataset_chain\water\input0/train_label/467.tif
D:\dataset_chain\water\input0/train/468.tif,D:\dataset_chain\water\input0/train_label/468.tif
D:\dataset_chain\water\input0/train/469.tif,D:\dataset_chain\water\input0/train_label/469.tif
D:\dataset_chain\water\input0/train/470.tif,D:\dataset_chain\water\input0/train_label/470.tif
D:\dataset_chain\water\input0/train/471.tif,D:\dataset_chain\water\input0/train_label/471.tif
D:\dataset_chain\water\input0/train/472.tif,D:\dataset_chain\water\input0/train_label/472.tif
D:\dataset_chain\water\input0/train/473.tif,D:\dataset_chain\water\input0/train_label/473.tif
D:\dataset_chain\water\input0/train/474.tif,D:\dataset_chain\water\input0/train_label/474.tif
D:\dataset_chain\water\input0/train/475.tif,D:\dataset_chain\water\input0/train_label/475.tif
D:\dataset_chain\water\input0/train/476.tif,D:\dataset_chain\water\input0/train_label/476.tif
